Code departement,Moyenne prix moyen,Moyenne prix moyen bati
1,5290.23603152553,5848.6673475104635
2,1121.1038920972462,2148.124442189356
3,945.9005478691683,2373.303246920628
4,1816.196565801434,4115.4823839437695
5,2864.9289709224404,19266.13724985527
6,9522.468158375248,14221.34915510406
7,1403.7594247584773,2753.2446700780692
8,1022.0285443677418,2229.3008712272062
9,900.2996060918445,2286.6820714957303
10,2218.5761747134716,3437.6933568373015
11,1229.0693693205546,2840.858232479479
12,821.4060844624898,2976.044865287441
13,42843.82532710184,24603.74972125359
14,2299.0745675768912,5167.059685903009
15,613.0549294525221,1857.9791343280876
16,2196.947311287725,2890.9827749901783
17,3096.9361572615376,4529.6378370262
18,1114.157481603161,3252.2248033203446
19,741.5085301273582,2074.862634030798
21,2523.9274412058526,5296.889590277641
22,31627.078657423488,187566.57560142293
23,349.84587210096095,1434.8565497071731
24,850.4672023165359,2770.133329962937
25,2577.2549479897793,4160.682052804501
26,2478.051085330419,4873.094577933111
27,2148.213935883013,3484.5010130587093
28,2146.5469734762855,3862.6446826006268
29,1753.0412067504792,6578.558478290559
29,2845.1208200713113,4718.088159380641
2A,7346.581480651572,8963.34212635913
2B,801.2843583163226,2393.1497330706507
30,8723.625139436908,12976.605915999251
30,3081.0473512561434,12412.895304028594
31,8391.054701944353,10520.792215685997
32,566.6934620925703,1920.900952645096
33,2930.5158553241213,3982.956391303288
34,4208.708084452387,4935.402352004041
35,965.7035343474008,3501.7166223035433
36,1771.105333411704,4785.579490899764
37,1909.9844368210204,2991.0406977394523
38,2138.1286741055474,4049.483484792599
39,789.848007407843,2061.1785674809066
40,4135.4534613005335,5152.710197908744
41,2689.9313193520816,4116.476480036791
42,1008.8730176873033,2589.8697004155583
43,1043.5016323958619,3369.5487258097132
44,794.0304855458033,2398.3413945412694
45,2132.777648212955,8277.217747287446
46,1457.005205666581,2690.865165581594
47,2451.973092259504,5358.668282560773
48,4201.9381634882175,3287.9444354197694
49,1047.0033822716193,2914.1652857890067
50,3776.4444649303587,6901.193538452586
51,525.177236478246,1594.1207421229044
52,201891.44348740185,2431978.5175917936
53,678.3199247737355,1562.6856160449793
54,9626.83793573863,15329.48203861512
55,3935.379322328488,5764.424490381468
56,1033.4863259061542,2186.1999253912268
58,3381.5705677788183,4233.65580977422
59,1441.6386837956347,3569.2565984243333
60,2681.4067668423627,5680.279989025564
61,1366.7310062734364,8940.662863051655
62,1720.5037270238256,4620.535048369834
63,6624.901337655372,31215.85755738166
64,699.258612341896,1937.4167010637277
65,1170.7168379251402,2953.3291155790926
66,948.535105314815,5386.435266932013
69,6388.002153564196,8946.703449486886
70,10398.641004097344,6930.210939647707
71,42178.12385009364,99198.42635658271
72,3061.265854205906,5067.0736872443695
73,6519.77102458733,6724.071475576679
74,21424.07677250584,14084.28372155079
76,1021.6000142462315,2438.341924679627
77,7091.850610450432,7679.129165395154
78,1418.969465177764,2544.2065466316135
79,1809.7895959405605,3107.118962701617
80,4223.645932204289,8384.932177531637
81,4913.159172288946,5297.97846713324
82,1897.7082266622747,4214.475033802745
83,1391.4683916559695,3447.3991423411176
84,747.6515160175248,2867.845663427468
85,1204.9565136014553,2295.918809732899
86,1080.9508586530517,2471.555010291903
87,1851.1193492645768,11175.789048654582
88,5720.640339927737,8282.249262526962
89,36089.44579213027,158142.25126592902
90,12509.678781035744,62912.46584929876
91,9693.662056540074,30723.07622010675
92,14729.058660205017,8400.62925735946
93,5856.015604552049,17247.154139013277
94,986.4408878476257,11512.763598833058
95,1681.0837182299554,51906.90219891922
971,3089.4032803843334,23335.258011950318
972,1856.2324430023793,4179.95070547728
973,2328.8610941267907,8403.756757871955
974,6156.964608898433,12558.569323675907
75,4470.976162696716,6437.608425399204
